"Source","Category","Q01","Q02","Q03","Q04","Q05","Q06","Q07","Q09","Q10","Q08","Q11","Q12","Q13","Q14","Q15","D1.Form","D2.Inform","D3.Quant","D4.Courses","D5.SelfR","D8.Age","D9.Gend","DLScore","DLScoreM","DLSz","F1","F2","F3"
"Nath","Student",6,6,7,5,7,6,6,6,6,5,5,4,5,7,6,2,2,2,2,4,1,2,87,5.8,0.612481384077137,6.2,5.8,5.4
"Nath","Student",2,3,3,3,4,7,7,7,7,4,5,4,1,1,5,1,1,2,1,2,1,2,63,4.2,-1.08674085835818,3,6.4,3.2
"Nath","Student",5,4,2,5,6,6,7,6,6,4,3,1,2,3,4,2,3,3,1,3,1,1,64,4.26666666666667,-1.01593993159005,4.4,5.8,2.6
"Nath","Student",6,3,3,4,5,4,3,6,6,2,2,3,3,5,2,2,3,3,1,2,1,1,57,3.8,-1.51154641896701,4.2,4.2,3
"Nath","Student",4,5,7,7,3,6,4,5,7,3,6,1,1,2,1,4,2,5,2,3,1,2,62,4.13333333333333,-1.15754178512632,5.2,5,2.2
"Nath","Student",5,5,5,5,5,4,4,4,4,3,2,2,2,5,5,3,3,3,2,3,1,1,60,4,-1.2991436386626,5,3.8,3.2
"Nath","Student",5,6,4,5,6,5,6,6,6,4,4,3,5,5,6,3,3,4,1,3,1,1,76,5.06666666666667,-0.166328810372385,5.2,5.4,4.6
"Nath","Student",6,7,7,6,7,7,6,7,7,7,7,6,7,7,7,3,4,2,2,3,1,2,101,6.73333333333333,1.60369435883108,6.6,6.8,6.8
"Nath","Student",4,5,4,4,5,3,6,3,3,3,3,3,3,4,5,2,3,2,1,3,1,2,58,3.86666666666667,-1.44074549219888,4.4,3.6,3.6
"Nath","Student",6,7,7,5,7,6,6,6,6,5,7,6,5,6,6,3,4,4,2,4,1,2,91,6.06666666666667,0.895685091149691,6.4,5.8,6
"Nath","Student",4,6,5,3,6,2,3,2,2,3,2,2,2,2,3,1,3,1,1,2,1,2,47,3.13333333333333,-2.2195556866484,4.8,2.4,2.2
"Nath","Student",5,4,4,4,5,5,3,5,4,3,3,3,4,3,6,3,3,4,2,3,1,1,61,4.06666666666667,-1.22834271189446,4.4,4,3.8
"Nath","Student",7,6,7,4,2,6,6,7,6,4,2,2,4,3,5,3,3,2,1,3,1,1,71,4.73333333333333,-0.520333444213077,5.2,5.8,3.2
"Nath","Student",5,4,3,5,6,5,3,6,6,5,5,4,3,3,5,4,3,3,2,4,1,1,68,4.53333333333333,-0.732736224517492,4.6,5,4
"Nath","Student",5,6,6,5,6,6,7,7,7,6,5,4,5,6,6,3,3,4,1,3,1,1,87,5.8,0.612481384077137,5.6,6.6,5.2
